2024-08-26 11:43:01,318 INFO    MainThread:8696 [wandb_setup.py:_flush():76] Current SDK version is 0.17.7
2024-08-26 11:43:01,319 INFO    MainThread:8696 [wandb_setup.py:_flush():76] Configure stats pid to 8696
2024-08-26 11:43:01,319 INFO    MainThread:8696 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Admin\.config\wandb\settings
2024-08-26 11:43:01,319 INFO    MainThread:8696 [wandb_setup.py:_flush():76] Loading settings from D:\Workspace\DO AN TOT NGHIEP\Fake-News-Detection-master\Fake_News_Article\wandb\settings
2024-08-26 11:43:01,319 INFO    MainThread:8696 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-08-26 11:43:01,319 INFO    MainThread:8696 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': 'D:\\Workspace\\DO AN TOT NGHIEP\\Fake-News-Detection-master\\Fake_News_Article\\train.py', 'program': 'D:\\Workspace\\DO AN TOT NGHIEP\\Fake-News-Detection-master\\Fake_News_Article\\train.py'}
2024-08-26 11:43:01,319 INFO    MainThread:8696 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-08-26 11:43:01,319 INFO    MainThread:8696 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-08-26 11:43:01,319 INFO    MainThread:8696 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-08-26 11:43:01,320 INFO    MainThread:8696 [wandb_init.py:_log_setup():524] Logging user logs to D:\Workspace\DO AN TOT NGHIEP\Fake-News-Detection-master\Fake_News_Article\wandb\run-20240826_114301-daladl8o\logs\debug.log
2024-08-26 11:43:01,320 INFO    MainThread:8696 [wandb_init.py:_log_setup():525] Logging internal logs to D:\Workspace\DO AN TOT NGHIEP\Fake-News-Detection-master\Fake_News_Article\wandb\run-20240826_114301-daladl8o\logs\debug-internal.log
2024-08-26 11:43:01,321 INFO    MainThread:8696 [wandb_init.py:init():607] calling init triggers
2024-08-26 11:43:01,321 INFO    MainThread:8696 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {}
2024-08-26 11:43:01,321 INFO    MainThread:8696 [wandb_init.py:init():657] starting backend
2024-08-26 11:43:01,321 INFO    MainThread:8696 [wandb_init.py:init():661] setting up manager
2024-08-26 11:43:01,327 INFO    MainThread:8696 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-08-26 11:43:01,334 INFO    MainThread:8696 [wandb_init.py:init():669] backend started and connected
2024-08-26 11:43:01,342 INFO    MainThread:8696 [wandb_init.py:init():764] updated telemetry
2024-08-26 11:43:01,342 INFO    MainThread:8696 [wandb_init.py:init():797] communicating run to backend with 90.0 second timeout
2024-08-26 11:43:02,091 INFO    MainThread:8696 [wandb_run.py:_on_init():2479] communicating current version
2024-08-26 11:43:02,442 INFO    MainThread:8696 [wandb_run.py:_on_init():2488] got version response 
2024-08-26 11:43:02,443 INFO    MainThread:8696 [wandb_init.py:init():848] starting run threads in backend
2024-08-26 11:43:18,974 INFO    MainThread:8696 [wandb_run.py:_console_start():2457] atexit reg
2024-08-26 11:43:18,974 INFO    MainThread:8696 [wandb_run.py:_redirect():2303] redirect: wrap_raw
2024-08-26 11:43:18,975 INFO    MainThread:8696 [wandb_run.py:_redirect():2368] Wrapping output streams.
2024-08-26 11:43:18,975 INFO    MainThread:8696 [wandb_run.py:_redirect():2393] Redirects installed.
2024-08-26 11:43:18,985 INFO    MainThread:8696 [wandb_init.py:init():891] run started, returning control to user process
2024-08-26 11:46:04,657 INFO    MainThread:8696 [wandb_watch.py:watch():51] Watching
